Sample,Host,Symbiodinium,ITS 2 type,Population,Sym09,Sym09,Sym11,Sym11,Sym14,Sym14,Sym17,Sym17,Sym67,Sym67,Sym92,Sym92,Sym87,Sym87,Sym88,Sym88,Sym66,Sym66
BB07_173,Pocillopora,S. glynnii,D1,BB,105,105,0,0,177,177,0,0,140,140,128,128,250,250,230,230,0,0
BB07_174,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,159,159,143,143,128,128,250,250,230,230,0,0
BB07_175,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,159,159,143,143,128,128,250,250,230,230,0,0
BB07_176,Pocillopora,S. glynnii,D1,BB,105,105,153,153,177,177,151,151,140,140,128,128,250,250,230,230,0,0
BB07_177,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,157,157,143,143,128,128,250,250,230,230,0,0
BB07_178,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,157,157,143,143,128,128,250,250,230,230,0,0
BB07_179,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,155,155,143,143,128,128,250,250,230,230,0,0
BB07_18,Pocillopora,S. glynnii,D1,BB,108,108,151,151,177,177,169,169,143,143,128,128,246,246,230,230,0,0
BB07_180,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,161,161,143,143,128,128,250,250,230,230,0,0
BB07_182,Pocillopora,S. glynnii,D1,BB,105,105,0,0,177,177,0,0,143,143,128,128,250,250,230,230,0,0
BB07_183,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,155,155,143,143,128,128,250,250,230,230,0,0
BB07_185,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,161,161,143,143,128,128,250,250,230,230,0,0
BB07_187,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,159,159,143,143,128,128,250,250,230,230,0,0
BB07_188,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,163,163,149,149,128,128,254,254,230,230,0,0
BB07_191,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,159,159,143,143,128,128,250,250,230,230,0,0
BB07_192,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,159,159,143,143,128,128,250,250,230,230,0,0
BB07_197,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,161,161,143,143,128,128,250,250,230,230,0,0
BB07_20,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,153,153,143,143,128,128,246,246,230,230,0,0
BB07_206,Pocillopora,S. glynnii,D1,BB,105,105,0,0,177,177,0,0,140,140,128,128,250,250,230,230,0,0
BB07_207,Pocillopora,S. glynnii,D1,BB,105,105,0,0,179,179,0,0,146,146,128,128,246,246,230,230,0,0
BB07_208,Pocillopora,S. glynnii,D1,BB,105,105,153,153,177,177,151,151,143,143,128,128,250,250,230,230,0,0
BB07_209,Pocillopora,S. glynnii,D1,BB,108,108,151,151,177,177,169,169,143,143,128,128,246,246,230,230,0,0
BB07_212,Pocillopora,S. glynnii,D1,BB,108,108,151,151,177,177,169,169,143,143,128,128,246,246,230,230,0,0
BB07_214,Pocillopora,S. glynnii,D1,BB,105,105,153,153,177,177,151,151,143,143,128,128,250,250,230,230,0,0
BB07_215,Pocillopora,S. glynnii,D1,BB,108,108,0,0,177,177,0,0,140,140,128,128,250,250,230,230,0,0
BB07_217,Pocillopora,S. glynnii,D1,BB,108,108,151,151,177,177,159,159,143,143,128,128,250,250,230,230,0,0
BB07_218,Pocillopora,S. glynnii,D1,BB,105,105,153,153,177,177,151,151,143,143,128,128,250,250,230,230,0,0
BB07_219,Pocillopora,S. glynnii,D1,BB,105,105,153,153,177,177,151,151,140,140,128,128,250,250,230,230,0,0
BB07_23,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,151,151,140,140,128,128,250,250,230,230,0,0
BB07_241,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,163,163,146,146,128,128,262,262,230,230,0,0
BB07_242,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,159,159,140,140,128,128,258,258,230,230,0,0
BB07_243,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,153,153,140,140,128,128,250,250,230,230,0,0
BB07_244,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,165,165,143,143,128,128,250,250,230,230,0,0
BB07_245,Pocillopora,S. glynnii,D1,BB,108,108,151,151,177,177,155,155,143,143,128,128,250,250,230,230,0,0
BB07_247,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,157,157,137,137,128,128,246,246,230,230,0,0
BB07_25,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,159,159,143,143,128,128,246,246,230,230,0,0
BB07_251,Pocillopora,S. glynnii,D1,BB,105,105,0,0,177,177,0,0,140,140,128,128,258,258,230,230,0,0
BB07_253,Pocillopora,S. glynnii,D1,BB,105,105,155,155,177,177,157,157,149,149,128,128,254,254,230,230,0,0
BB07_254,Pocillopora,S. glynnii,D1,BB,105,105,155,155,177,177,157,157,149,149,128,128,254,254,230,230,0,0
BB07_255,Pocillopora,S. glynnii,D1,BB,108,108,151,151,177,177,155,155,143,143,128,128,242,242,230,230,0,0
BB07_261,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,157,157,137,137,128,128,246,246,230,230,0,0
BB07_262,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,161,161,143,143,128,128,250,250,230,230,0,0
BB07_265,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,165,165,146,146,128,128,262,262,230,230,0,0
BB07_267,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,163,163,143,143,128,128,250,250,230,230,0,0
BB07_269,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,155,155,140,140,128,128,250,250,230,230,0,0
BB07_271,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,161,161,143,143,128,128,250,250,230,230,0,0
BB07_272,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,161,161,143,143,128,128,250,250,230,230,0,0
BB07_274,Pocillopora,S. glynnii,D1,BB,105,105,155,155,177,177,157,157,131,131,128,128,250,250,230,230,0,0
BB07_275,Pocillopora,S. glynnii,D1,BB,105,105,155,155,177,177,157,157,131,131,128,128,250,250,230,230,0,0
BB07_277,Pocillopora,S. glynnii,D1,BB,105,105,151,151,177,177,155,155,140,140,128,128,250,250,230,230,0,0
