Sample,Region,Location,Host,Sym9,,Sym11,,Sym14,,Sym17,,Sym34,,Sym66,,Sym93,,Sym92,,Sym67,,Sym82,,Sym87,,Sym88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAR07_26,CAR,Barbados,Orbicella sp.,106,109,151,153,177,179,141,143,385,387,294,294,149,157,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAR07_45,CAR,Barbados,Diploria labrynthiformis,106,109,151,153,177,179,141,143,385,387,294,294,149,157,128,128,131,131,0,0,0,0,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAR07_66,CAR,Barbados,Scolymea sp.,106,109,151,155,177,179,141,143,385,387,294,294,149,157,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAR07_101,CAR,Barbados,Colpophyllia sp.,106,109,151,153,177,179,141,143,385,387,294,294,149,157,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAR07_102,CAR,Barbados,Colpophyllia sp.,106,109,151,153,177,179,141,143,385,387,294,294,149,157,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAR07_104,CAR,Barbados,Siderastrea siderea,106,109,151,153,177,179,141,143,385,387,294,294,151,151,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAR07_107,CAR,Barbados,Siderastrea sp.,106,109,151,153,177,179,141,143,385,387,294,294,151,151,128,128,131,131,234,237,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAR07_110,CAR,Barbados,Siderastrea sp.,106,109,151,153,177,179,141,143,385,387,294,294,149,157,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAR07_115,CAR,Barbados,Siderastrea sp.,106,109,151,153,177,179,143,143,385,387,294,294,149,157,128,128,131,131,234,240,240,244,240,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAR07_116,CAR,Barbados,Siderastrea sp.,106,109,151,153,177,179,141,143,385,387,294,294,149,157,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAR07_117,CAR,Barbados,Siderastrea sp.,106,109,151,153,177,179,141,143,385,387,294,294,149,157,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAR07_120,CAR,Barbados,Siderastrea sp.,106,109,151,153,177,179,141,143,387,387,294,294,151,151,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR_21,CAR,Barbados,Siderastrea siderea,106,109,151,153,177,179,141,143,385,387,294,294,151,151,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HB_1,CAR,Barbados,Orbicella annularis,106,109,151,153,177,179,141,143,381,387,294,294,149,157,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HB_2,CAR,Barbados,Siderastrea siderea,106,109,151,153,177,179,141,143,385,387,294,294,151,151,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HB_4,CAR,Barbados,Orbicella annularis,106,109,151,153,177,179,141,143,385,387,294,294,149,157,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HB_7,CAR,Barbados,Orbicella annularis,106,109,151,153,177,179,141,143,385,387,294,294,149,157,128,128,131,131,234,246,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HER_1,CAR,Barbados,Siderastrea siderea,106,109,151,153,177,179,141,143,383,385,294,294,151,151,128,128,131,131,234,237,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HER_13,CAR,Barbados,Siderastrea siderea,106,109,151,153,177,179,141,143,385,387,294,294,149,157,128,128,131,131,234,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
