Sample,Region,Location,Host,Sym9,,Sym11,,Sym14,,Sym17,,Sym34,,Sym66,,Sym93,,Sym92,,Sym67,,Sym82,,Sym87,,Sym88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHU07_101,IND,Koh Phiphi,Plerogyra sinuosa,106,109,151,157,177,179,141,143,387,393,294,294,149,153,128,128,131,137,243,252,240,244,234,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHU07_108,IND,Koh Phiphi,Pavona varians,106,106,151,157,177,179,141,145,373,383,294,297,149,157,128,128,131,137,234,249,240,244,232,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHU07_113,IND,Koh Phiphi,Astreopora myriophthalma,106,109,149,155,177,177,141,145,369,383,291,294,149,153,124,128,134,137,258,270,236,240,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHU07_116,IND,Koh Phiphi,Pavona explanulata,106,109,153,155,177,179,141,145,381,385,291,294,149,157,128,128,131,131,261,267,240,248,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHU07_118,IND,Koh Phiphi,Pachyseris speciosa,106,106,155,157,179,179,141,145,387,401,294,294,145,157,128,128,131,134,249,267,240,248,234,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHU07_138,IND,Koh Phiphi,Physogyra lichtensteini,106,109,151,157,177,177,141,145,391,393,294,294,149,157,124,128,131,134,258,282,0,0,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHU07_139,IND,Koh Phiphi,Acropora valida,106,106,151,155,177,179,141,145,373,393,294,294,149,157,124,128,131,137,237,255,240,244,232,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHU07_142,IND,Koh Phiphi,Leptoseris mycetoseroides,106,106,151,157,177,179,141,145,373,375,297,297,149,157,128,128,131,137,234,252,240,244,232,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHU07_155,IND,Koh Phiphi,Acropora subulata,109,109,153,159,173,177,137,145,350,387,294,294,149,161,124,128,131,140,240,264,244,244,234,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHU07_159,IND,Koh Phiphi,Pachyseris speciosa,106,109,151,157,177,177,141,143,371,393,291,294,149,157,128,128,131,137,240,255,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHU07_161,IND,Koh Phiphi,Lobophyllia hemprichii,106,109,0,0,177,179,0,0,373,389,294,297,149,157,124,128,134,140,240,255,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHU07_342,IND,Phuket,Podabacia crustacea,106,109,153,155,177,179,141,145,381,405,294,294,145,157,128,128,128,134,240,279,244,244,234,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHU07_353,IND,Phuket,Diploastrea heliopora,106,109,151,157,177,179,141,141,373,377,294,294,149,157,128,128,0,0,240,258,240,244,234,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHU07_355,IND,Phuket,Goniastrea pectinata,106,109,151,157,177,177,141,147,373,375,291,294,149,153,128,128,131,134,240,246,236,240,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHU07_357,IND,Phuket,Favites abdita,106,112,153,153,179,179,141,143,395,397,0,0,149,157,124,124,128,137,261,285,240,244,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHU07_358,IND,Phuket,Pavona decussata,106,109,151,153,177,179,141,147,375,375,294,297,149,157,128,132,131,134,249,255,244,244,234,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHU07_360,IND,Phuket,Montastrea curta,106,109,149,153,179,179,141,147,371,389,291,294,153,157,124,128,131,134,240,240,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHU07_370,IND,Phuket,Merulina ampliata,106,109,151,161,177,179,143,143,367,385,288,294,149,153,128,128,131,134,231,255,240,240,234,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHU07_373,IND,Phuket,Platygyra sinensis,106,112,157,159,179,179,141,145,381,397,294,294,149,157,124,128,128,140,0,0,240,244,234,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHU07_376,IND,Phuket,Herpolitha limax,106,109,151,161,177,179,143,143,367,385,0,0,149,153,128,128,131,134,231,252,240,240,234,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHU07_377,IND,Phuket,Fungia echinata,106,112,151,153,175,177,143,145,371,389,291,294,149,149,124,128,131,134,225,231,240,248,234,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHU07_378,IND,Phuket,Podabacia crustacea,106,109,155,155,179,191,141,143,401,403,294,297,145,157,124,128,131,134,240,282,240,252,234,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHU07_379,IND,Phuket,Favites abita,106,112,153,153,179,179,141,143,395,397,294,297,149,157,124,128,128,137,261,285,240,244,234,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHU07_381,IND,Phuket,Monastrea valenciennesi,106,109,149,153,177,177,141,145,373,381,294,294,153,157,124,128,131,134,243,246,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHU07_382,IND,Phuket,Leptastrea pruinosa,106,109,0,0,177,177,0,0,0,0,291,294,145,149,128,128,131,134,240,258,240,240,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHU07_383,IND,Phuket,Pavona decussata,106,109,151,159,177,179,141,145,371,379,294,297,145,151,124,128,131,134,249,258,244,256,234,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHU07_386,IND,Phuket,Pavona varians,106,109,151,151,177,177,141,143,365,389,291,294,149,157,128,128,131,137,234,249,240,244,234,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHU07_387,IND,Phuket,Symphyllia radians,106,112,149,153,177,179,141,145,383,385,291,294,149,157,124,128,131,134,0,0,240,244,234,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHU07_400,IND,Phuket,Platygyra sinensis,106,112,155,159,179,179,141,145,381,397,294,294,149,157,124,128,128,140,0,0,240,244,234,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHU07_401,IND,Phuket,Goniastrea retiformis,106,106,151,157,177,179,141,143,361,375,288,291,145,157,124,128,131,131,228,234,240,240,234,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHU07_403,IND,Phuket,Goniastrea aspera,106,109,151,153,175,179,141,145,367,371,291,291,149,157,128,128,131,137,237,252,244,248,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHU07_405,IND,Phuket,Favites abdita,106,109,153,153,179,179,141,143,397,399,0,0,149,157,128,128,128,137,252,285,240,244,234,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHU07_406,IND,Phuket,Platygyra pini,106,109,153,153,177,177,141,145,381,391,288,294,149,153,128,132,131,137,234,258,244,248,232,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHU07_407,IND,Phuket,Platygyra sinensis,106,112,159,159,179,179,141,145,381,397,294,294,149,157,124,128,128,140,0,0,240,244,234,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHU07_409,IND,Phuket,Acropora digitifera,106,112,151,153,173,177,139,145,353,383,294,297,149,173,124,124,131,140,237,252,240,244,234,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHU07_410,IND,Phuket,Fungia fungites,106,109,151,159,177,179,137,143,377,385,291,294,145,157,128,128,131,134,237,240,240,240,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHU07_553,IND,Phuket,Goniastrea aspera,106,109,151,153,175,179,141,145,367,371,291,291,149,157,128,128,131,137,237,255,244,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHU07_555,IND,Phuket,Platygyra daedalea,106,112,157,159,179,179,141,145,381,397,294,294,149,157,124,128,128,140,240,282,240,244,234,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHU07_560,IND,Phuket,Goniastrea aspera,106,109,151,151,175,179,0,0,367,371,291,291,149,157,128,128,131,137,237,255,244,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHU07_561,IND,Phuket,Goniastrea aspera,106,109,151,153,175,179,141,145,367,371,291,291,149,157,128,128,131,137,237,255,244,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHU07_563,IND,Phuket,Goniastrea aspera,106,109,151,153,175,179,141,145,367,371,0,0,149,157,128,128,131,137,237,255,244,244,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHU07_565,IND,Phuket,Psammocora contigua,106,109,151,153,177,179,143,145,365,393,291,297,145,157,128,136,131,134,0,0,244,244,234,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHU07_572,IND,Phuket,Platygyra daedalea,109,112,157,159,177,177,141,145,371,381,294,294,0,0,128,128,128,140,0,0,240,244,234,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHU07_573,IND,Phuket,Platygyra daedalea,106,112,151,153,175,177,143,145,371,389,291,294,149,149,124,128,131,134,225,231,240,248,234,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHU07_583,IND,Phuket,Goniastrea retiformis,106,109,151,155,179,179,0,0,369,379,291,294,145,153,124,128,131,140,231,240,240,248,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_4,PAC,Nikko Bay,Lobophyllia hemprichii,106,109,151,157,177,181,141,147,397,397,294,294,149,149,128,128,131,134,264,285,244,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_5,PAC,Nikko Bay,Pachyseris speciosa,106,109,155,155,179,179,141,141,381,381,291,291,145,153,124,128,131,137,252,252,240,240,234,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_6,PAC,Nikko Bay,Goniastrea aspera,106,109,151,153,177,179,141,143,373,377,0,0,149,157,128,128,131,134,240,243,240,248,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_8,PAC,Nikko Bay,Plerogyra sinuosa,106,109,151,155,177,179,141,145,373,381,294,297,149,153,128,128,131,140,270,270,244,244,234,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_11,PAC,Nikko Bay,Leptoseris yabei,106,109,151,157,177,181,141,143,377,391,294,297,153,153,124,128,131,134,243,255,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_14,PAC,Nikko Bay,Pectinia alcicornis,109,109,151,155,177,179,141,145,377,383,288,291,149,157,128,128,131,134,255,267,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_17,PAC,Nikko Bay,Heliofungia actiniformis,106,109,151,157,177,179,143,145,391,393,294,294,149,157,128,128,134,134,234,234,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_19,PAC,Nikko Bay,Pavona explanulata,106,109,149,151,179,179,141,141,389,395,294,294,149,157,128,128,131,134,264,279,240,240,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_20,PAC,Nikko Bay,Lobophyllia hataii,106,109,151,157,177,181,141,145,353,397,291,294,149,149,128,128,131,134,261,261,244,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_28,PAC,Nikko Bay,Pachyseris rugosa,109,109,153,155,177,179,141,143,385,391,294,294,149,157,124,128,131,134,240,264,244,248,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_33,PAC,Nikko Bay,Lobophyllia hemprichii,106,109,153,157,177,181,141,145,367,397,291,294,149,149,128,128,131,134,255,255,244,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_35,PAC,Nikko Bay,Oulophyllia bennettae,106,109,151,153,177,179,141,143,373,377,294,297,149,157,128,128,131,134,240,243,240,248,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_37,PAC,Nikko Bay,Physogyra lichtensteini,106,109,151,155,177,179,141,145,373,381,291,294,149,153,128,128,131,140,273,276,244,244,234,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_66,PAC,Nikko Bay,Leptastrea purpurea,106,109,0,0,177,179,0,0,0,0,294,294,149,153,124,128,131,131,234,249,240,244,234,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_67,PAC,Nikko Bay,Lobophyllia hemprichii,106,109,153,155,177,181,141,145,373,377,291,294,141,149,128,132,125,134,252,255,240,244,234,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_73,PAC,Nikko Bay,Fungia concinna,109,109,153,161,179,179,141,143,383,385,294,297,149,157,128,128,131,140,246,246,244,248,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_74,PAC,Nikko Bay,Echinopora lamellosa,106,109,151,153,0,0,141,143,373,377,294,297,149,157,128,128,131,134,240,255,240,248,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_75,PAC,Nikko Bay,Ctenactis echinata,106,109,151,157,177,179,141,143,379,409,0,0,0,0,0,0,131,134,243,246,240,244,234,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_82,PAC,Nikko Bay,Cyphastrea chalcidicum,106,109,149,159,177,179,141,145,377,389,294,297,149,157,128,128,131,134,237,258,240,244,234,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_83,PAC,Nikko Bay,Galaxea astreata,106,109,151,157,177,181,141,143,383,385,294,297,153,157,124,128,131,134,243,267,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_85,PAC,Nikko Bay,Montastrea magnistellata,106,109,151,155,177,179,141,143,373,377,294,297,149,157,128,128,131,134,237,240,240,248,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_89,PAC,Nikko Bay,Pavona varians,109,109,151,155,177,179,141,145,377,383,294,297,149,157,128,128,131,140,246,264,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_90,PAC,Nikko Bay,Merulina scabricula,106,109,149,151,177,179,141,143,387,399,294,294,149,157,128,128,131,134,0,0,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_91,PAC,Nikko Bay,Echinopora lamellosa,106,109,151,153,177,179,141,143,377,385,294,294,149,157,128,128,131,134,240,258,244,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_94,PAC,Nikko Bay,Lobophyllia hemprichii,106,109,153,155,177,181,141,145,373,385,291,294,149,149,128,132,125,134,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_95,PAC,Nikko Bay,Favites halicora,106,109,151,153,177,179,141,143,369,373,294,297,149,157,128,128,131,134,234,264,240,248,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_101,PAC,Nikko Bay,Heliofungia actiniformis,106,109,151,157,177,181,141,143,387,389,294,297,153,157,124,128,131,134,270,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_327,PAC,Rock Isl.S.,Fungia fungites,106,109,153,157,177,179,141,143,403,429,291,294,149,157,128,128,131,131,252,252,240,244,240,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_330,PAC,Rock Isl.S.,Pavona  varians,106,109,151,153,177,177,141,145,381,387,294,297,149,157,128,128,131,134,246,267,240,248,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_331,PAC,Rock Isl.S.,Halomitra pileus,106,112,151,155,177,179,141,143,361,365,291,294,149,157,128,128,131,137,237,243,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_334,PAC,Rock Isl.S.,Leptastrea purpurea,106,109,151,157,0,0,143,145,379,387,294,294,145,149,124,124,131,134,240,240,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_340,PAC,Rock Isl.S.,Goniopora lobata,106,109,151,153,177,179,141,143,377,385,294,300,149,157,128,128,131,134,231,255,240,248,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_355,PAC,Rock Isl.S.,Herpolitha limax,106,109,151,153,177,179,141,143,0,0,294,294,149,157,124,128,131,134,0,0,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_356,PAC,Rock Isl.S.,Acropora brueggemanni,106,109,151,153,0,0,141,143,381,385,294,300,149,157,128,128,131,134,234,249,240,248,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_368,PAC,Rock Isl.S.,Acropora elseyi,106,109,151,153,177,179,141,143,377,385,294,303,149,157,128,128,131,134,234,249,240,248,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_370,PAC,Rock Isl.S.,Acropora kirstyae,106,109,151,153,0,0,141,143,377,385,294,300,149,157,128,128,131,134,234,249,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_373,PAC,Rock Isl.S.,Pachyseris rugosa,106,109,151,153,0,0,141,143,377,385,294,300,149,157,124,128,131,134,240,267,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_374,PAC,Rock Isl.S.,Acropora microphthalma,106,109,151,153,0,0,141,143,377,385,294,300,149,157,128,128,131,134,234,243,240,248,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_375,PAC,Rock Isl.S.,Goniopora columna,106,109,151,153,177,179,141,143,377,385,297,297,149,157,124,128,131,134,237,252,240,248,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_378,PAC,Rock Isl.S.,Cyphastrea agassiza,106,109,149,153,0,0,141,143,377,385,294,300,149,145,128,128,131,134,234,249,240,248,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_391,PAC,Rock Isl.S.,Leptastrea purpurea,106,109,151,153,177,179,143,145,379,379,294,294,0,0,124,128,131,134,240,267,232,240,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_392,PAC,Rock Isl.S.,Acropora subglabra,106,109,151,153,0,0,141,143,377,385,294,300,149,157,128,128,131,134,231,249,240,248,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_394,PAC,Rock Isl.S.,Diploastrea heliopora,106,109,0,0,177,179,141,147,393,397,291,297,0,0,128,128,131,134,237,270,240,248,236,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_395,PAC,Rock Isl.S.,Echinopora lamellosa,106,109,151,153,177,179,141,143,377,393,291,294,149,157,128,128,134,134,252,252,0,0,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_396,PAC,Rock Isl.S.,Fungia fungites,106,109,153,157,177,179,141,143,397,433,291,294,149,157,128,128,131,134,252,255,240,244,240,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_397,PAC,Rock Isl.S.,Ctenactis echinata,106,109,151,157,177,179,141,143,407,407,294,294,149,157,128,128,131,134,246,252,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_399,PAC,Rock Isl.S.,Acropora vaughani,106,109,151,153,177,179,141,143,377,385,294,300,149,157,128,128,131,134,234,249,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_402,PAC,Rock Isl.S.,Cyphastrea chalcidicum,106,109,151,153,177,179,141,143,373,377,0,0,149,157,128,128,134,134,219,240,236,240,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_403,PAC,Rock Isl.S.,Favites complanata,106,109,151,155,177,179,141,143,377,385,294,300,149,153,124,128,131,134,234,249,236,240,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_404,PAC,Rock Isl.S.,Goniastrea australiensis,106,109,151,153,177,179,141,143,373,377,0,0,149,157,128,128,131,134,240,255,0,0,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_405,PAC,Rock Isl.S.,Platygyra pini,106,109,151,153,177,179,141,143,377,385,294,300,149,157,128,128,131,134,234,249,240,248,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_408,PAC,Rock Isl.S.,Herpolitha weberi,106,109,153,157,177,179,141,143,403,403,291,294,149,157,128,128,131,131,252,252,240,244,240,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_413,PAC,Rock Isl.S.,Acropora microphthalma,106,109,151,153,177,179,141,143,377,389,294,300,149,157,128,128,131,134,234,252,240,248,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_414,PAC,Rock Isl.S.,Goniopora lobata,106,109,151,155,177,179,141,143,385,389,288,294,149,157,124,128,131,134,261,264,244,244,236,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_418,PAC,Rock Isl.S.,Gardineroseris planulata,106,112,151,153,0,0,141,143,377,385,294,300,149,157,128,128,131,134,234,249,240,248,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_419,PAC,Rock Isl.S.,Pavona explanulata,106,109,151,155,177,177,141,149,365,405,291,294,149,157,128,128,131,137,234,234,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_422,PAC,Rock Isl.S.,Acropora vaughani,106,109,151,153,0,0,141,143,377,385,294,300,149,157,128,128,131,134,231,255,240,248,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_423,PAC,Rock Isl.S.,Acropora carduus,106,109,151,153,0,0,141,143,377,385,294,300,149,157,128,128,131,134,234,246,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_424,PAC,Rock Isl.S.,Pavona decussata,106,109,151,155,0,0,141,147,365,409,294,294,149,157,124,128,131,137,234,234,240,240,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_425,PAC,Rock Isl.S.,Acropora muricata,100,106,151,153,0,0,141,143,377,385,294,303,149,157,128,128,131,134,234,246,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_429,PAC,Rock Isl.S.,Platygyra pini,106,109,151,153,0,0,141,143,377,385,294,300,149,157,128,128,131,134,234,249,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_432,PAC,Rock Isl.S.,Favites abdita,106,109,151,153,177,179,141,143,377,385,294,300,149,157,128,128,131,134,231,249,240,248,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_435,PAC,Rock Isl.S.,Favites pentagona,106,109,151,153,177,179,141,143,385,385,294,300,149,157,128,128,131,134,234,249,240,248,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_438,PAC,Rock Isl.S.,Leptastrea purpurea,106,109,151,153,177,179,141,143,373,377,294,300,149,157,128,128,131,134,240,255,240,248,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_440,PAC,Rock Isl.S.,Echinopora lamellosa,106,109,151,153,177,179,141,143,373,377,294,300,149,157,128,128,131,134,240,258,240,248,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_441,PAC,Rock Isl.S.,Hydnophora rigida,106,109,151,153,177,181,141,143,377,385,294,300,149,157,128,128,131,134,231,0,240,248,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_447,PAC,Rock Isl.S.,Merulina ampliata,106,109,151,153,0,0,141,143,377,385,294,300,149,157,128,128,131,134,234,246,240,248,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_449,PAC,Rock Isl.S.,Oxypora lacera,106,109,151,153,0,0,141,143,373,377,294,300,149,157,128,128,131,134,237,252,240,244,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_451,PAC,Rock Isl.S.,Favites complanata,106,109,151,153,0,0,141,143,377,385,294,300,149,157,128,128,131,134,234,249,240,248,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_452,PAC,Rock Isl.S.,Montastrea magnestillata,100,106,151,153,177,179,141,143,377,385,294,300,149,157,128,128,131,134,234,246,240,248,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_453,PAC,Rock Isl.S.,Lobophyllia pachysepta,106,109,151,155,177,179,141,141,385,391,294,294,149,157,128,128,131,137,0,0,0,0,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_456,PAC,Rock Isl.S.,Platygyra lamellina,106,109,151,153,0,0,141,143,377,385,294,300,149,157,128,128,131,134,234,243,240,248,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_457,PAC,Rock Isl.S.,Echinopora pacifica,106,109,151,155,0,0,141,145,375,383,294,294,149,149,128,136,131,134,0,0,244,244,236,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_459,PAC,Rock Isl.S.,Pavona explanulata,106,109,151,153,0,0,141,143,379,381,294,294,149,157,124,128,131,134,237,264,232,240,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_460,PAC,Rock Isl.S.,Psammocora digitata,106,109,151,153,0,0,141,143,0,0,294,300,149,157,128,128,131,134,234,249,240,248,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL09_464,PAC,Rock Isl.S.,Acropora vaughani,106,109,151,153,0,0,141,143,377,385,294,300,149,157,128,128,131,134,234,249,240,248,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
