Sample,pS.trenchii,pS.glynnii
BSA08_100,0.017750993,0.982249007
BSA08_101,0.017056186,0.982943814
BSA08_104,0.017056186,0.982943814
BSA08_11,0.018572021,0.981427979
BSA08_110,0.017056186,0.982943814
BSA08_111,0.017056186,0.982943814
BSA08_113,0.017056186,0.982943814
BSA08_114,0.017056186,0.982943814
BSA08_115,0.017056186,0.982943814
BSA08_117,0.017056186,0.982943814
BSA08_118,0.017056186,0.982943814
BSA08_12,0.018572021,0.981427979
BSA08_120,0.017056186,0.982943814
BSA08_123,0.017056186,0.982943814
BSA08_126,0.021431686,0.978568314
BSA08_127,0.017056186,0.982943814
BSA08_129,0.017056186,0.982943814
BSA08_13,0.018572021,0.981427979
BSA08_130,0.017056186,0.982943814
BSA08_131,0.017056186,0.982943814
BSA08_135,0.017056186,0.982943814
BSA08_14,0.017056186,0.982943814
BSA08_142,0.017056186,0.982943814
BSA08_144,0.017056186,0.982943814
BSA08_15,0.017750993,0.982249007
BSA08_157,0.017056186,0.982943814
BSA08_16,0.017056186,0.982943814
BSA08_161,0.017056186,0.982943814
BSA08_162,0.017056186,0.982943814
BSA08_19,0.018572021,0.981427979
BSA08_20,0.017056186,0.982943814
BSA08_21,0.018572021,0.981427979
BSA08_22,0.017056186,0.982943814
BSA08_23,0.018572021,0.981427979
BSA08_24,0.018531034,0.981468966
BSA08_27,0.017056186,0.982943814
BSA08_28,0.017056186,0.982943814
BSA08_29,0.018572021,0.981427979
BSA08_31,0.017056186,0.982943814
BSA08_33,0.017056186,0.982943814
BSA08_34,0.018572021,0.981427979
BSA08_35,0.018572021,0.981427979
BSA08_38,0.035255093,0.964744907
BSA08_42,0.018572021,0.981427979
BSA08_48,0.017056186,0.982943814
BSA08_50,0.017056186,0.982943814
BSA08_52,0.017056186,0.982943814
BSA08_53,0.017056186,0.982943814
BSA08_55,0.016038025,0.983961975
BSA08_58,0.018572021,0.981427979
BSA08_59,0.016976474,0.983023526
BSA08_60,0.018572021,0.981427979
BSA08_62,0.017056186,0.982943814
BSA08_63,0.018572021,0.981427979
BSA08_65,0.017056186,0.982943814
BSA08_69,0.017750993,0.982249007
BSA08_7,0.018572021,0.981427979
BSA08_71,0.017056186,0.982943814
BSA08_72,0.024145879,0.975854121
BSA08_74,0.024145879,0.975854121
BSA08_75,0.018572021,0.981427979
BSA08_77,0.017056186,0.982943814
BSA08_82,0.017056186,0.982943814
BSA08_84,0.018572021,0.981427979
BSA08_86,0.025122087,0.974877913
BSA08_87,0.020224541,0.979775459
BSA08_9,0.018572021,0.981427979
BSA08_95,0.017056186,0.982943814
BSA08_96,0.017750993,0.982249007
BSA08_97,0.017056186,0.982943814
G_1083,0.019423094,0.980576906
G_1085,0.019596882,0.980403118
G_1112,0.018572021,0.981427979
G_1119,0.017056186,0.982943814
G_174,0.018572021,0.981427979
G_336,0.017056186,0.982943814
G_345,0.017056186,0.982943814
G_348,0.018572021,0.981427979
