Sample,pS.trenchii,pS.glynnii
BAR07_117,0.963897049,0.036102951
BAR07_120,0.963897049,0.036102951
BAR07_14,0.963897049,0.036102951
BAR07_17,0.930417836,0.069582164
BAR07_26,0.963897049,0.036102951
BAR07_45,0.960087061,0.039912939
BAR07_66,0.966964662,0.033035338
BAR07_8,0.916560292,0.083439708
BAR07_98,0.925996423,0.074003577
BEL02_35,0.962381721,0.037618279
BR_21,0.962381721,0.037618279
CCMP_2556,0.958959341,0.041040659
FGB05_90,0.961050272,0.038949728
HB_1,0.962381721,0.037618279
HB_2,0.962381721,0.037618279
HB_4,0.962381721,0.037618279
HB_7,0.962381721,0.037618279
HER_1,0.962381721,0.037618279
HER_13,0.962381721,0.037618279
HER_25,0.955547929,0.044452071
HP_5,0.962381721,0.037618279
HP_6,0.962381721,0.037618279
PH_15m_1T,0.962381721,0.037618279
PH_15m_3T,0.962381721,0.037618279
PH_9m_2T,0.962381721,0.037618279
PH_9m_3T,0.944789648,0.055210352
PHU07_101,0.953062654,0.046937346
PHU07_108,0.947942555,0.052057445
PHU07_113,0.947012126,0.052987874
PHU07_116,0.957423747,0.042576253
PHU07_118,0.945271313,0.054728687
PHU07_138,0.959228337,0.040771663
PHU07_139,0.953733861,0.046266139
PHU07_142,0.939839303,0.060160697
PHU07_155,0.702304482,0.297695518
PHU07_159,0.959139585,0.040860415
PHU07_161,0.867293477,0.132706523
PHU07_17,0.959298849,0.040701151
PHU07_18,0.953733861,0.046266139
PHU07_26,0.904777169,0.095222831
PHU07_342,0.916367412,0.083632588
PHU07_353,0.900905132,0.099094868
PHU07_355,0.961366057,0.038633943
PHU07_357,0.909888923,0.090111077
PHU07_358,0.911538303,0.088461697
PHU07_360,0.96017915,0.03982085
PHU07_370,0.84847939,0.15152061
PHU07_373,0.939888179,0.060111821
PHU07_376,0.786035359,0.213964641
PHU07_377,0.829221785,0.170778215
PHU07_378,0.93938148,0.06061852
PHU07_379,0.929018497,0.070981503
PHU07_381,0.959707141,0.040292859
PHU07_382,0.904285491,0.095714509
PHU07_383,0.919706881,0.080293119
PHU07_386,0.945190489,0.054809511
PHU07_387,0.954095602,0.045904398
PHU07_39,0.910562098,0.089437902
PHU07_400,0.939888179,0.060111821
PHU07_401,0.894101977,0.105898023
PHU07_403,0.916255414,0.083744586
PHU07_405,0.908488572,0.091511428
PHU07_406,0.892205,0.107795
PHU07_407,0.939888179,0.060111821
PHU07_409,0.874982238,0.125017762
PHU07_410,0.964633465,0.035366535
PHU07_43,0.953062654,0.046937346
PHU07_52,0.961795688,0.038204312
PHU07_53,0.917318821,0.082681179
PHU07_553,0.916255414,0.083744586
PHU07_555,0.939888179,0.060111821
PHU07_56,0.953062654,0.046937346
PHU07_560,0.836855292,0.163144708
PHU07_561,0.916255414,0.083744586
PHU07_563,0.888948262,0.111051738
PHU07_565,0.722332537,0.277667463
PHU07_572,0.887848377,0.112151623
PHU07_573,0.829221785,0.170778215
PHU07_583,0.80328244,0.19671756
PHU07_61,0.910140753,0.089859247
PHU07_79,0.947012126,0.052987874
PHU07_8,0.872583747,0.127416253
PHU07_87,0.910140753,0.089859247
PM05_mf1,0.963897049,0.036102951
PM05_mf10_A,0.963897049,0.036102951
PM05_mf3,0.963897049,0.036102951
PM05_mf5,0.963897049,0.036102951
PM05_mf6,0.963897049,0.036102951
PM05_mf7,0.963897049,0.036102951
PM05_mf8_A,0.960087061,0.039912939
PM05_mf9,0.963897049,0.036102951
RB_23,0.962381721,0.037618279
RB_32,0.962381721,0.037618279
RB_36,0.962381721,0.037618279
RB_45,0.959370911,0.040629089
RB_46,0.962381721,0.037618279
SC_9m_2T,0.962381721,0.037618279
STX04_60,0.960153222,0.039846778
Tye_Dtype,0.963897049,0.036102951
ZAN07_102,0.912018538,0.087981462
ZAN07_123,0.958324492,0.041675508
ZAN07_148,0.953317761,0.046682239
ZAN07_150,0.951624632,0.048375368
ZAN07_215,0.904405892,0.095594108
ZAN07_223,0.926053584,0.073946416
ZAN07_224,0.926053584,0.073946416
ZAN07_249,0.95363158,0.04636842
ZAN07_252,0.95363158,0.04636842
ZAN07_253,0.95363158,0.04636842
ZAN07_32,0.875281632,0.124718368
ZAN07_34,0.946591198,0.053408802
ZAN07_398,0.966070771,0.033929229
